Q,a95,Com,Formation,Lat,Lon,CLat,CLon,RLat,RLon,EULER,Age,GPDB RefNo/Reference,Block
3,7.6,,Combined Sakamena Rakotosolofo et al. 1999,-76.7,110.8,-68.4,73.5,-54.3,60.4,(14.8/137.5/− 15.4),250.5,"T, 3329",Madagascar (702)
3,9.5,,Combined Sakoa Rakotosolofo et al. 1999,-51.3,72.6,-42.5,60.2,-27.8,54.4,(14.8/137.5/− 15.4),305,"3329, T",Madagascar (702)
5,11,,Carion Granite,-6.8,1,,,3.1,-2.6,(14.8/137.5/− 15.4),509,"3405, TV",Madagascar (702)
4,14,,Stratoid Granites,-6.8,352.7,,,1.6,-10.7,(14.8/137.5/− 15.4),521,Meert et al. (2003),Madagascar (702)
5,1.8,,"Tarakohe Quarry, New Zealand (Australian Plate)",-78.4,103.1,-70.3,148.6,-80.2,155.3,(12/48.8/− 10.4),17.5,Turner et al. (2007),Australia (801)
5,3.6,,"Barrington Volcano,New South Wales",-70.5,125.6,,,-80.2,19,(14.1/57/− 24.4),53,592,Australia (801)
5,1.8,,Otway Group sediments,-48.9,148.7,-45.1,146.8,-56.4,93.9,(17.2/103.2/− 36),112,1201,Australia (801)
5,3.7,,"Prospect dolerite, Sydney Basin",-53,179.6,,,-59.2,64.5,(19.5/117.8/− 56.2),168,1177,Australia (801)
4,6,,"Garrawilla volcanics and Nombi extrusives, New South Wales",-46.1,175.2,,,-57.3,78.3,(19.5/117.8/− 56.2),180,780,Australia (801)
5,2.9,,Tasmanian dolerite,-50.7,174.5,,,-56.6,69.9,(19.5/117.8/− 56.2),183,1113,Australia (801)
6,5.1,,Newcastle range volcanics,-63.8,124.5,,,-31.5,48.8,(19.5/117.8/− 56.2),321,3561,Australia (801)
6,6,,"Brewer Conglomerate, Northern Territory",-47.1,41,-49.3,54.7,2.2,28.5,(19.5/117.8/− 56.2),367,"2726, TV",Australia (801)
6,7.8,,"Reef Complex, Canning Basin",-49.1,38,,,3.6,17.7,(19.5/117.8/− 56.2),370,"1345, TV",Australia (801)
6,15.2,,"Canning Basin Reef Complexes, Western Australia",-62,23.2,,,-10,10.7,(19.5/117.8/− 56.2),370,"2942, TV",Australia (801)
5,5,,"Canning basin, Upper Frasnian",-63,38.6,,,-10.3,18,(19.5/117.8/− 56.2),376,"E. Tohver, pers.comm. (2012)",Australia (801)
5,3,,"Tumblagooda Sandstone, Carnarvon Basin",-26.7,33.7,-30.4,46,21.9,25.2,(19.5/117.8/− 56.2),465,"206, TV",Australia (801)
4,13,,"Jinduckin Formation, Northern Territory",-13,25,,,38.3,1.5,(19.5/117.8/− 56.2),493,"202, TV",Australia (801)
6,7.4,,"Chatswood limestone and Ninmaroo Formation, Western Queensland",3.1,54.1,,,52.7,45,(19.5/117.8/− 56.2),495,"3082, TV",Australia (801)
3,3.8,,"Black Hill Norite, South Australia",-37.5,34.4,,,15.2,14.8,(19.5/117.8/− 56.2),500,"2971, TV",Australia (801)
6,10,,"Hugh River shale, Jay Creek limestone",-19.3,39.1,,,33.4,19,(19.5/117.8/− 56.2),510,Mitchell et al. (2010),Australia (801)
3,10.1,,"Lake Frome Group Combined, Flinders Ranges, South Australia",-31.4,26.9,-31.3,26.7,20.6,7.4,(19.5/117.8/− 56.2),510,"1769, TV",Australia (801)
3,10.4,,"Giles Creek dolomite, Ross River, Amadeus Basin",-38.3,24.5,,,13.4,6.9,(19.5/117.8/− 56.2),510,"1769, TV",Australia (801)
3,12.3,,"Cambrian sediments, Kangaroo Island, South Australia",-33.8,15.1,-32.8,13.9,16.4,-3.2,(19.5/117.8/− 56.2),515,"1769, TV",Australia (801)
7,6.7,,"Todd River dolomite, Northern Territory",-43.2,339.9,,,-6.2,-20.8,(19.5/117.8/− 56.2),522,"1070, TV",Australia (801)
6,14.4,,"Billy Creek Formation, Aroona Creek and Wirrealpa limestone, Flinders Ranges",-37.4,20.1,,,13.5,3.2,(19.5/117.8/− 56.2),523,"1769, TV",Australia (801)
6,7.3,,"Pertaoorta Group, Areyonga Gorge, Amadeus Basin",-32.7,11.5,-28.7,5.7,17.4,-11.7,(19.5/117.8/− 56.2),525,"1769, TV",Australia (801)
6,4.1,,"Upper Arumbera sandstone, Northern Territory",-46.6,337.3,-37.4,331.7,-6.5,-29.4,(19.5/117.8/− 56.2),534,"1070, TV",Australia (801)
5,11.4,,"Hawker Group, Flinders Ranges, South Australia",-21.3,14.9,,,27.5,-6.6,(19.5/117.8/− 56.2),535,"1769, TV",Australia (801)
6,16,,"Brachina Formation, Adelaide Geosyncline, South Australia",-33,328,-20.2,326.5,1.6,-45.3,(19.5/117.8/− 56.2),550,"1648, TV",Australia (801)
5,4,,McMurdo Sound volcanics,-85.5,143.6,,,-85.5,141.7,(8.3/− 49.4/.2),1,Tauxe et al. (2004),East Antarctica (802)
5,6.3,,McMurdo volcanics combined,-87.3,137.3,,,-87.3,130.8,(8.2/− 49.4/.3),2,"1319, T",East Antarctica (802)
5,7,,James Ross Island volcanics,-86.4,28.5,,,-85.7,30.7,(8.2/− 49.4/.8),5,Kristjánsson et al. (2005),East Antarctica (802)
5,2.3,,Kerguelen islands (Antarctic Plate),-85.5,9.3,,,-81.7,25.3,(11.6/− 48.2/4.2),27,Camps et al. (2007),East Antarctica (802)
5,4.4,,"Lavas and dykes, Vestfjella",-51.4,203.4,,,-55,98.6,(10.5/148.8/− 58.2),164,"1548, T",East Antarctica (802)
4,3.4,,"Ferrar dolerites, Northern Prince Albert Mountains",-47.8,225.5,,,-69.3,91.3,(10.5/148.8/− 58.2),183,"2721, T",East Antarctica (802)
3,3.3,,"Ferrar dolerite sill, Mount Cerberus",-57.8,224.3,,,-61.5,75.7,(10.5/148.8/− 58.2),183,"1838, T",East Antarctica (802)
5,2.4,,"Ferrar dolerites, Wright Valley",-45.3,208,,,-59.4,108.3,(10.5/148.8/− 58.2),183,"1599, T",East Antarctica (802)
5,10.2,,"Ferrar dolerite, McMurdo Sound",-50.5,211.4,,,-60,97.1,(10.5/148.8/− 58.2),183,"1657, T",East Antarctica (802)
4,6.9,,"Storm Peak Lavas, Queen Alexandra Range",-44.1,231.5,,,-74.9,91.3,(10.5/148.8/− 58.2),193,"808, T",East Antarctica (802)
5,3.8,,Vestfjella lavas and dykes,-41.8,226.5,,,-73.2,105.8,(10.5/148.8/− 58.2),195,"1154, T",East Antarctica (802)
5,5.2,,"Vanda lamprophyre and porphyry, Wright Valley",-2.5,23.8,,,37.8,-2.5,(10.5/148.8/− 58.2),471.5,"1599, TV",East Antarctica (802)
5,7.6,,South Victoria Land intrusives,-3.5,22.7,,,36.3,-2.7,(10.5/148.8/− 58.2),475,"2966, TV",East Antarctica (802)
5,7.2,,"Teall Nunatak, Victoria Land",-11,21,,,29.6,2,(10.5/148.8/− 58.2),479,"3187, TV",East Antarctica (802)
4,10.9,,"Lamprophyre dykes, Taylor Valley",-9.3,26.7,,,34.5,5.7,(10.5/148.8/− 58.2),484,"1079, TV",East Antarctica (802)
4,12,,Killer Ridge/Mount Lok,-7,21.4,,,32.8,-0.9,(10.5/148.8/− 58.2),499,"3298, TV",East Antarctica (802)
4,8.1,,"Granitic rocks, Wright Valley",-5.4,18.5,,,32,-4.6,(10.5/148.8/− 58.2),500,"1599, TV",East Antarctica (802)
3,4.5,,"Sør Rondane intrusives, Queen Maud Land",-28.5,9.5,,,9.5,6.1,(10.5/148.8/− 58.2),515,"546, TV",East Antarctica (802)
